txn_id,txn_date,store,category,quantity,unit_price
112,2026-01-18,Downtown,Electronics,2,17.98
113,2026-01-08,Airport,Electronics,2,67.24
114,2026-02-17,Downtown,Grocery,5,28.17
115,2026-01-13,Downtown,Electronics,1,63.07
116,2026-03-13,Suburb,Grocery,6,171.62
117,2026-03-06,Mall,Home,4,
118,2026-01-21,Suburb,Home,3,57.21
119,2026-03-14,Airport,Apparel,6,54.9
120,2026-02-06,Downtown,Home,7,
121,2026-01-18,Mall,Home,5,78.25
122,2026-01-20,Mall,Apparel,1,174.1
123,2026-03-19,Airport,Electronics,5,147.09
124,2026-01-24,Mall,Grocery,3,
125,2026-03-27,Airport,Grocery,2,108.03
126,2026-01-16,Suburb,Electronics,2,19.3
127,2026-02-02,Downtown,Grocery,2,
128,2026-01-18,Suburb,Electronics,7,129.08
129,2026-03-01,Airport,Electronics,6,175.99
130,2026-02-27,Suburb,Home,7,
131,2026-01-26,Downtown,Home,1,134.94
132,2026-03-31,Mall,Apparel,2,110.52
133,2026-03-16,Downtown,,6,166.1
134,2026-03-21,Airport,Grocery,5,
135,2026-02-24,Mall,Home,1,58.18
136,2026-01-03,Suburb,Apparel,5,121.24
137,2026-03-29,Suburb,Electronics,7,46.82
138,2026-01-26,Downtown,Home,7,50.35
139,2026-01-13,Airport,Electronics,2,43.95
140,2026-02-05,Suburb,Home,2,127.92
141,2026-03-27,Suburb,Home,3,38.63
142,2026-01-25,Airport,Home,7,173.08
143,2026-03-30,Downtown,Grocery,7,195.61
144,2026-03-26,Mall,Electronics,3,170.09
145,2026-02-07,Mall,Grocery,7,7.17
146,2026-03-03,Downtown,Grocery,6,9.07
147,2026-01-03,Mall,Electronics,2,147.77
148,2026-02-09,Airport,Apparel,7,80.65
149,2026-03-22,Mall,Apparel,5,115.13
150,2026-01-21,Airport,Grocery,5,65.05
151,2026-03-23,Downtown,Home,3,158.26
152,2026-01-23,Mall,Electronics,6,154.53
153,2026-02-11,Downtown,Apparel,6,83.44
154,2026-01-27,Downtown,Electronics,6,152.33
155,2026-01-08,Airport,Home,6,114.6
156,2026-01-15,Mall,Grocery,5,77.84
157,2026-01-13,Mall,Apparel,1,
158,2026-03-31,Airport,Apparel,1,8.5
159,2026-01-11,Downtown,Apparel,4,73.21
160,2026-02-07,Downtown,Home,5,
161,2026-02-26,Airport,Apparel,4,5.47
162,2026-01-04,Airport,Grocery,2,22.07
163,2026-02-21,Mall,Grocery,2,123.49
164,2026-02-19,Airport,Apparel,2,143.04
165,2026-03-10,Airport,Apparel,5,42.75
166,2026-01-18,Mall,Electronics,1,47.31
167,2026-02-26,Airport,Apparel,3,84.39
168,2026-02-09,Suburb,Apparel,3,85.67
169,2026-03-21,Downtown,Apparel,5,70.68
170,2026-02-15,Airport,Home,7,35.32
171,2026-03-22,Airport,Electronics,7,55.58
172,2026-03-15,Downtown,Electronics,7,61.76
173,2026-01-18,Mall,Grocery,3,
174,2026-02-09,Mall,Apparel,2,148.13
175,2026-03-23,Downtown,Apparel,6,15.04
176,2026-01-02,Airport,Apparel,7,132.17
177,2026-02-28,Suburb,Grocery,6,17.81
178,2026-02-06,Downtown,Apparel,2,26.26
179,2026-03-05,Suburb,Home,2,
180,2026-03-23,Downtown,Home,3,27.38
181,2026-02-05,Mall,Electronics,4,169.29
182,2026-02-20,Downtown,Electronics,7,162.7
183,2026-03-03,Downtown,Grocery,5,29.36
184,2026-03-01,Airport,Electronics,3,53.38
185,2026-02-07,Suburb,Home,6,95.78
186,2026-03-07,Airport,Electronics,2,122.29
187,2026-01-26,Mall,Electronics,1,70.46
188,2026-01-10,Suburb,Home,1,47.74
189,2026-02-11,Downtown,Home,6,23.28
190,2026-02-25,Mall,Grocery,2,175.09
191,2026-03-25,Suburb,Grocery,4,110.62
192,2026-02-12,Mall,Home,5,141.0
193,2026-01-24,Airport,Apparel,2,152.45
194,2026-01-24,Suburb,Electronics,4,154.27
195,2026-01-15,Suburb,Grocery,5,57.95
196,2026-01-25,Downtown,Home,5,197.85
197,2026-01-28,Suburb,Grocery,5,158.48
198,2026-03-30,Mall,Home,6,17.17
199,2026-03-07,Airport,Electronics,1,122.98
200,2026-01-31,Airport,Electronics,7,20.86
201,2026-01-11,Downtown,Home,6,85.16
202,2026-01-24,Suburb,Electronics,5,83.18
203,2026-02-14,Downtown,Apparel,4,94.55
204,2026-01-18,Downtown,Electronics,6,71.49
205,2026-02-21,Airport,Electronics,2,134.19
206,2026-03-16,Airport,Grocery,4,15.33
207,2026-01-22,Airport,Electronics,3,88.75
208,2026-01-19,Airport,Apparel,5,42.75
209,2026-03-25,Suburb,Grocery,5,184.57
210,2026-01-13,Suburb,Home,6,82.16
211,2026-03-13,Mall,Home,7,
212,2026-03-25,Airport,Grocery,7,84.73
213,2026-02-15,Mall,Grocery,2,5.29
214,2026-02-26,Airport,Electronics,7,142.76
215,2026-02-03,Airport,Apparel,4,
216,2026-03-29,Suburb,Electronics,5,21.64
217,2026-03-18,Airport,Electronics,1,37.7
218,2026-03-22,Suburb,Electronics,3,117.19
219,2026-03-13,Suburb,Grocery,3,84.65
220,2026-02-12,Suburb,Electronics,7,28.97
221,2026-02-14,Mall,Grocery,2,133.61
222,2026-03-01,Downtown,Grocery,2,198.93
223,2026-03-26,Downtown,Home,3,142.01
224,2026-03-27,Mall,Electronics,5,128.24
225,2026-01-23,Downtown,Grocery,2,37.88
226,2026-03-06,Mall,Home,1,123.43
227,2026-02-25,Airport,Apparel,1,7.54
228,2026-03-17,Suburb,Home,3,
229,2026-01-22,Airport,Home,1,172.73
230,2026-01-28,Airport,Home,2,14.8
231,2026-03-15,Downtown,Electronics,5,163.77
232,2026-01-15,Suburb,Grocery,3,26.36
233,2026-03-31,Airport,Electronics,3,96.48
234,2026-02-07,Suburb,Apparel,1,192.23
235,2026-02-11,Mall,Electronics,5,105.15
236,2026-03-31,Mall,Home,4,152.79
237,2026-03-04,Airport,Electronics,3,163.43
238,2026-03-16,Airport,Electronics,4,140.21
239,2026-03-29,Mall,Electronics,6,103.6
240,2026-01-19,Downtown,Apparel,3,79.59
241,2026-02-02,Airport,Grocery,4,30.91
242,2026-02-19,Downtown,Grocery,5,
243,2026-03-10,Downtown,Apparel,3,51.22
244,2026-02-15,Mall,Electronics,7,29.21
245,2026-03-20,Suburb,Home,4,82.17
246,2026-01-28,Suburb,Grocery,1,172.3
247,2026-03-24,Mall,Grocery,1,86.86
248,2026-02-02,Downtown,Grocery,1,90.34
249,2026-01-26,Downtown,Grocery,1,154.49
250,2026-01-16,Mall,Grocery,2,
251,2026-03-30,Suburb,Electronics,6,61.2
252,2026-03-11,Airport,Apparel,7,
253,2026-03-27,Airport,Apparel,4,
254,2026-02-26,Suburb,Apparel,6,83.83
255,2026-03-21,Downtown,,5,33.98
256,2026-02-27,Suburb,Electronics,1,97.5
257,2026-02-25,Suburb,Apparel,5,73.5
258,2026-01-16,Airport,Electronics,3,20.65
259,2026-01-23,Downtown,Apparel,7,149.66
260,2026-02-06,Suburb,Grocery,3,169.84
261,2026-01-21,Downtown,Home,5,26.66
262,2026-01-25,Suburb,Home,3,57.79
263,2026-02-05,Downtown,Home,3,138.65
264,2026-01-06,Mall,Grocery,5,168.24
265,2026-02-19,Suburb,Electronics,2,17.69
266,2026-01-26,Suburb,Electronics,5,112.26
267,2026-01-18,Suburb,Home,3,189.14
268,2026-02-26,Airport,Electronics,5,92.82
269,2026-03-30,Mall,Electronics,1,77.13
270,2026-01-16,Mall,Apparel,1,69.5
271,2026-03-15,Airport,Home,5,
272,2026-02-04,Airport,Electronics,3,58.41
273,2026-02-21,Suburb,Apparel,1,7.53
274,2026-03-11,Suburb,Electronics,5,29.12
275,2026-01-17,Airport,Electronics,1,113.91
276,2026-02-16,Downtown,Apparel,6,51.33
277,2026-02-27,Mall,Grocery,7,8.0
278,2026-01-26,Airport,Grocery,5,185.53
279,2026-01-02,Mall,Apparel,2,66.34
280,2026-02-23,Downtown,Electronics,2,43.41
281,2026-03-19,Downtown,Home,7,106.04
282,2026-03-22,Mall,Grocery,1,61.25
283,2026-01-27,Downtown,Apparel,2,183.25
284,2026-02-21,Mall,Grocery,6,
285,2026-03-13,Suburb,Grocery,6,93.85
286,2026-03-15,Mall,Home,4,185.19
287,2026-02-24,Mall,Home,4,63.2
288,2026-01-11,Mall,Home,4,124.94
289,2026-02-26,Mall,Home,1,43.07
290,2026-02-15,Mall,Apparel,6,159.02
291,2026-02-09,Suburb,Grocery,3,155.68
292,2026-01-03,Mall,Home,6,42.59
293,2026-02-12,Airport,Home,4,78.48
294,2026-02-14,Suburb,Electronics,5,6.21
295,2026-02-23,Airport,Electronics,1,197.93
296,2026-03-28,Suburb,Electronics,5,13.0
297,2026-01-19,Suburb,Grocery,4,114.36
298,2026-01-18,Downtown,Electronics,3,77.17
299,2026-02-10,Airport,Grocery,4,125.33
300,2026-01-14,Downtown,Home,7,132.4
301,2026-01-28,Mall,Electronics,2,135.17
302,2026-03-15,Airport,Apparel,5,
303,2026-02-28,Downtown,Apparel,5,188.18
304,2026-01-28,Airport,Home,7,179.06
305,2026-03-19,Airport,Apparel,3,46.82
306,2026-02-11,Mall,Grocery,7,48.03
307,2026-03-23,Suburb,Electronics,2,93.13
308,2026-03-04,Downtown,Electronics,1,59.49
309,2026-01-10,Downtown,Home,7,86.09
310,2026-03-22,Airport,Electronics,4,93.67
311,2026-03-13,Airport,Electronics,5,174.04
312,2026-01-30,Downtown,Grocery,3,173.53
313,2026-01-09,Airport,Home,6,141.71
314,2026-01-05,Suburb,Home,5,
315,2026-01-29,Airport,Apparel,4,49.47
316,2026-02-20,Downtown,Home,2,168.13
317,2026-01-08,Mall,Electronics,3,
318,2026-02-13,Downtown,Apparel,5,13.11
319,2026-01-07,Downtown,Electronics,1,102.4
320,2026-03-08,Mall,Home,6,116.87
321,2026-01-16,Mall,Apparel,4,133.23
322,2026-01-16,Mall,Apparel,3,
323,2026-01-12,Mall,Apparel,4,173.59
324,2026-01-06,Downtown,Apparel,1,14.85
325,2026-02-21,Airport,Grocery,3,176.48
326,2026-01-01,Airport,Home,1,143.38
327,2026-03-10,Downtown,Apparel,7,161.22
328,2026-01-09,Airport,Apparel,4,153.83
329,2026-02-20,Suburb,Home,4,62.45
330,2026-03-05,Suburb,Electronics,3,66.04
331,2026-01-21,Airport,Grocery,1,88.53
332,2026-02-08,Suburb,Electronics,7,50.24
333,2026-02-27,Mall,Home,7,63.47
334,2026-01-22,Suburb,Home,3,132.94
335,2026-01-01,Mall,Home,2,35.38
336,2026-02-03,Airport,Apparel,2,55.08
337,2026-02-04,Suburb,Grocery,1,68.16
338,2026-01-21,Airport,Home,5,60.05
339,2026-02-20,Downtown,Home,3,138.54
340,2026-01-24,Airport,Grocery,4,8.9
341,2026-02-07,Airport,Electronics,7,131.95
342,2026-01-23,Suburb,Apparel,6,39.37
343,2026-03-16,Airport,Apparel,4,45.0
344,2026-03-03,Suburb,Home,4,
345,2026-02-02,Downtown,Electronics,4,140.62
346,2026-01-17,Mall,Grocery,1,107.85
347,2026-01-20,Airport,Apparel,7,33.51
348,2026-01-13,Downtown,Grocery,3,99.74
349,2026-02-06,Suburb,Grocery,6,191.66
350,2026-02-05,Airport,Grocery,3,56.82
351,2026-01-28,Suburb,Electronics,6,195.62
352,2026-02-19,Mall,Apparel,3,30.96
353,2026-02-04,Suburb,Home,4,174.93
354,2026-02-14,Airport,Apparel,3,162.51
355,2026-01-01,Suburb,Apparel,3,156.52
356,2026-02-04,Airport,Grocery,1,157.5
357,2026-01-14,Suburb,Grocery,3,11.19
358,2026-03-03,Downtown,Electronics,3,
359,2026-01-13,Mall,Apparel,7,179.38
360,2026-01-26,Mall,Grocery,1,68.01
361,2026-03-04,Mall,Grocery,3,49.98
362,2026-01-10,Suburb,Electronics,3,53.93
363,2026-02-03,Mall,Grocery,5,148.1
364,2026-03-09,Mall,Electronics,6,132.9
365,2026-01-06,Suburb,Grocery,1,64.63
366,2026-03-27,Suburb,Home,4,47.02
367,2026-02-20,Downtown,Grocery,5,21.37
368,2026-02-23,Mall,Apparel,3,158.88
369,2026-03-19,Mall,Apparel,2,92.91
370,2026-03-31,Downtown,Electronics,4,62.51
371,2026-03-24,Downtown,Apparel,7,120.24
372,2026-03-04,Downtown,Home,7,146.01
373,2026-02-17,Downtown,Grocery,4,
374,2026-01-20,Downtown,Grocery,1,125.09
375,2026-01-07,Suburb,Electronics,4,178.77
376,2026-01-20,Mall,Electronics,6,147.05
377,2026-02-07,Downtown,Electronics,7,
378,2026-03-20,Mall,Home,4,40.08
379,2026-02-12,Airport,Apparel,3,147.57
380,2026-02-27,Mall,Electronics,7,194.8
381,2026-03-08,Downtown,Home,2,185.7
382,2026-02-10,Downtown,Apparel,4,120.61
383,2026-02-24,Mall,Electronics,3,61.52
384,2026-01-29,Mall,Apparel,1,
385,2026-02-22,Downtown,Apparel,7,41.23
386,2026-02-07,Suburb,Grocery,5,171.85
387,2026-01-16,Suburb,Electronics,5,58.64
388,2026-03-20,Downtown,Grocery,3,131.69
389,2026-02-17,Downtown,Home,7,58.28
390,2026-03-11,Downtown,Apparel,1,148.28
391,2026-01-28,Airport,Electronics,4,60.53
392,2026-01-04,Suburb,Grocery,7,80.34
393,2026-01-11,Airport,Grocery,3,97.53
394,2026-01-31,Suburb,Grocery,7,191.2
395,2026-03-06,Suburb,Grocery,2,36.97
396,2026-02-08,Suburb,Electronics,4,153.56
397,2026-01-12,Airport,Apparel,7,22.22
398,2026-03-01,Suburb,Apparel,7,30.77
399,2026-03-13,Suburb,Home,5,69.54
400,2026-03-29,Suburb,Grocery,3,179.5
401,2026-01-10,Mall,Electronics,2,143.83
402,2026-02-07,Airport,Electronics,7,71.65
403,2026-03-28,Airport,Electronics,5,199.64
404,2026-02-24,Downtown,Grocery,2,8.45
405,2026-02-01,Downtown,Electronics,1,112.73
406,2026-01-09,Mall,Electronics,7,190.21
407,2026-01-16,Airport,Apparel,2,169.8
408,2026-03-30,Mall,Electronics,4,16.88
409,2026-02-15,Downtown,,1,36.26
410,2026-01-08,Downtown,Apparel,1,140.57
411,2026-01-16,Downtown,Home,1,76.15
412,2026-02-14,Airport,Home,2,8.27
413,2026-03-10,Downtown,Grocery,6,111.71
414,2026-02-23,Downtown,Home,1,90.33
415,2026-03-24,Downtown,Apparel,3,178.53
416,2026-02-22,Airport,Apparel,6,21.35
417,2026-02-04,Mall,Grocery,7,24.93
418,2026-03-13,Mall,Home,3,26.59
419,2026-02-21,Suburb,Home,5,126.43
420,2026-02-13,Airport,Apparel,6,168.08
421,2026-02-07,Suburb,Home,5,52.76
422,2026-02-25,Mall,Apparel,5,170.36
423,2026-01-25,Downtown,Electronics,4,139.4
424,2026-01-19,Airport,Apparel,3,64.43
425,2026-01-05,Airport,Grocery,1,194.35
426,2026-01-28,Suburb,Grocery,4,157.26
427,2026-02-21,Downtown,Home,1,78.97
428,2026-02-25,Downtown,Grocery,7,93.48
429,2026-02-13,Airport,Grocery,1,31.78
430,2026-03-15,Suburb,Apparel,3,136.8
431,2026-01-05,Airport,Home,1,12.57
432,2026-01-29,Airport,Electronics,4,109.69
433,2026-01-03,Downtown,Electronics,3,96.17
434,2026-01-15,Suburb,Home,4,93.99
435,2026-01-17,Downtown,Electronics,4,14.79
436,2026-01-14,Downtown,Home,2,128.12
437,2026-01-14,Airport,Apparel,3,115.63
438,2026-02-10,Airport,Grocery,3,106.42
439,2026-01-28,Suburb,Electronics,3,47.66
440,2026-03-15,Airport,Grocery,1,47.34
441,2026-01-31,Mall,Electronics,6,162.81
442,2026-01-29,Airport,Home,4,50.21
443,2026-02-05,Airport,Home,7,147.37
444,2026-02-19,Airport,Electronics,6,187.84
445,2026-03-18,Airport,Apparel,2,
446,2026-02-14,Suburb,Home,2,47.96
447,2026-02-04,Mall,Electronics,4,58.95
448,2026-01-22,Mall,Apparel,7,128.34
449,2026-01-22,Suburb,Apparel,2,131.77
450,2026-02-08,Airport,Grocery,6,26.46
451,2026-02-10,Suburb,Apparel,6,145.26
452,2026-01-29,Mall,,3,7.12
453,2026-03-05,Mall,Grocery,2,74.72
454,2026-01-27,Downtown,Grocery,6,106.33
455,2026-02-07,Mall,Apparel,2,105.78
456,2026-03-25,Airport,Grocery,3,168.66
457,2026-01-23,Suburb,Home,3,121.15
458,2026-03-21,Downtown,Home,5,93.68
459,2026-02-09,Mall,Apparel,4,80.61
460,2026-03-01,Suburb,Electronics,1,108.4
461,2026-01-14,Mall,Apparel,3,133.14
462,2026-01-07,Suburb,Apparel,2,33.09
463,2026-01-06,Suburb,Electronics,4,
464,2026-03-26,Mall,Home,2,93.37
465,2026-03-24,Suburb,Grocery,4,185.36
466,2026-02-28,Mall,Electronics,3,46.94
467,2026-01-25,Suburb,Electronics,3,21.62
468,2026-01-15,Mall,Apparel,6,124.89
469,2026-01-06,Suburb,Grocery,4,57.47
470,2026-03-15,Suburb,Home,3,180.2
471,2026-01-20,Downtown,Home,7,176.17
472,2026-02-07,Mall,Electronics,7,179.88
473,2026-01-01,Airport,Apparel,5,198.68
474,2026-01-26,Suburb,Home,6,91.02
475,2026-03-31,Mall,Home,5,123.67
476,2026-03-28,Suburb,Home,4,127.81
477,2026-03-29,Mall,Apparel,5,186.25
478,2026-01-08,Airport,Apparel,5,134.25
479,2026-02-24,Downtown,Grocery,7,177.56
480,2026-03-26,Airport,Home,4,
481,2026-03-21,Downtown,Home,7,26.2
482,2026-01-02,Suburb,Electronics,3,169.85
483,2026-02-11,Mall,Apparel,3,
484,2026-01-18,Suburb,Home,2,
485,2026-02-16,Mall,Grocery,7,190.74
486,2026-03-07,Airport,Apparel,6,142.69
487,2026-01-26,Suburb,Grocery,1,28.47
488,2026-03-29,Downtown,Electronics,3,153.76
489,2026-03-16,Suburb,Electronics,6,149.88
490,2026-01-03,Mall,Home,6,171.15
491,2026-03-14,Mall,Grocery,6,22.72
492,2026-03-28,Downtown,Grocery,4,183.59
493,2026-01-14,Airport,Home,7,159.48
494,2026-01-09,Mall,Apparel,2,34.9
495,2026-01-06,Suburb,Home,3,130.4
496,2026-03-07,Airport,Grocery,5,154.29
497,2026-01-05,Airport,Apparel,5,162.3
498,2026-03-14,Airport,Home,6,114.26
499,2026-01-26,Airport,Electronics,6,183.16
500,2026-01-16,Downtown,Grocery,6,85.23
